offensive_language,tweet
3.0,Why can't there be bomb single bitches available on tap?
0.0,Why can't I have colored eyes like my siblings &#128557;&#128557;
2.0,Why black girls gotta be thots? Ain't nobody bringing up the fat white hoe you fucked back in middle school. #LoveOurWomen
2.0,"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?"
3.0,why bitches gotta be bitches
3.0,Why bitches get so hype an mad when u asked if they suck dick like yes or no telly tubby
3.0,Why bitches act like I CAN'T READ or like words don't have a meaning.
3.0,"Why beg for nudes when you could fuck that bitch and make a video. Staring yourself and you get some booty, win win."
3.0,Why are you the only thick character in the game? Why I gotta play a skinny bitch? @KimKardashian
2.0,why are these freshman so ghetto lmao
3.0,Why are there so many hoes?
1.0,Why are some people such faggots? Like were you born that way or are you just that big of a douche bag.
1.0,Why are people saying don't let guys treat you like a yellow starburst? That's my favorite.
2.0,why are people acting like they didn't know hoe allen was going to the cavs 6 months ago?
3.0,"Why are nudes called nudes? I would rather be like "" hey girl send me the tits and ass hoe """
2.0,Why are #teabaggers so interested in saving people who are Muslim? Does Syria have oil? #morningjoe
3.0,Why am I being such a bitch today? #lol
3.0,Why all the bitches fake gay now?
3.0,Why 2 dudes would wanna fuck the same bitch at the same time is far beyond me.
3.0,Whops @_JAMAICAJONES yardie. Go smoke a blunt and tell a nigga to come through. You are stressed
1.0,Whoops bought snuggly hideous fuzzy boots because it's cold as balls all of a sudden
0.0,Whoooooaaa no chill savage &#8220;@CantBeLocal: Here monkey monkey http://t.co/wmZ8s3j6iG&#8221;
0.0,"Whoo? A new attraction in Virginia City, birds of prey. Meet this owl famous for his role in Harry Potter. http://t.co/1NFSh5sCcR"
2.0,Whole time your bitch on the phone moaning in me and my bitch ear though..
0.0,Whoever mocks the poor insults his Maker; he who is glad at calamity will not go unpunished. http://t.co/P7zwAoXi4l
0.0,Whoever made these brownies and cookies belongs in heaven
2.0,Whoever jumps in on a 1on1 is a bitch.
0.0,Whoever had Mr. Ramlogan for UWI business law tho? Racist mudda cunt
3.0,"Whoever came up with that "" I don't have no ex's "" sayin must've been a hoe"
2.0,Who's ready for nigger spam?
3.0,who's pussy better then a crazy bitch?
3.0,Who's got the baddest pussy on the planet
1.0,who's downie like a brownie 4 brunch? Need mimosas
3.0,Who's baby is dat who's da man dat did dat 2 u Gator's bitches best be using jimmys
3.0,Who's a thottie? Yous a thottie! Who's a thottie? Yous a thottie! Yes YOU BITCH! Womp womp. &#128514;&#128514;&#128514; Lord save these parched hoes
0.0,Who'd have thought my redneck husband would claim the hipster glasses? http://t.co/Vv6MzpQ4ju
0.0,Who would've known that Jesus'll come back to the ghetto / on that level and that thorough like a black heroine.
0.0,Who wanna play pin da tail on da colored man's butt?
3.0,Who told this midget hoe to start stripping
3.0,Who the hell taught you how to fuck bitch toot it up
3.0,Who the hell is gonna buy your shit when your dirty panties and trash are clearly in the background of the picture
3.0,"Who the fuck still plays flappy bird? &#128514;

&#8220;@loren_travis: Flappy bird feels like http://t.co/OQ3jnn7fwO&#8221;"
2.0,"Who the fuck puts a block of cheese in they room without a refrigerator ghetto ass niggas eases, like that's just the thing to do wrong."
2.0,Who the fuck made this cunt the authority on men?
3.0,Who the fuck is this bitch with this cheap ass clown nose on my screen? Your tired ass commercial. I would never book u for a party
2.0,Who tf make an account of another bitch... Like you wanna be anotha bitch dat bad.. Lmfaooo fat ass hoes
1.0,Who takes mid from the best midlaner NA??? Fuckin solo Q fags.
3.0,Who shot John lookin ass hoe
0.0,"Who remembers when we were in middle school/high school and would throw paper in the trash from our seat and yell ""KOBE!"" Lmfaoooo"
0.0,Who needs an alarm when you have the worlds most annoying bird outside your window?!??
2.0,"Who is that pink hat guy, Cody? Caleb? Either way he is a over emotional bitch. #BB16"
0.0,"Who is John Hanson? A ""Black"" Man, A Moor, John Hanson
was the First President of the United States! George... http://t.co/rpSeqjD3"
3.0,Who fukn wit @Rocko4Real for real for real .. Dat nicca be riding!!
3.0,Who ever did the beat on that Wayne by Chief that bitch a banger @ChiefKeef #FreeWop #FreeSlick
3.0,Who da fuck is yo? Idk nigguh
0.0,White trash okies don't count as real white people. To count as a white person you have to count a person. Okies aren't people.
1.0,White trash have taken over every charity organization in the US.
2.0,White trash bash &#128540;&#127867; http://t.co/wXVVTEM0Fc
2.0,White people always gave yellow ass teeth
1.0,"White kids, black kids, yellow kids hell even purple kids, if you carry yourselves like Daniel #Geale you will go far. #GealeMundine2"
0.0,White bus drivers are all white trash. #LosAngeles
2.0,White bitches be lovin da colored men
0.0,Whipped out some french in front of some babes at the post office. #winning
0.0,Whipped http://t.co/EFSVjPqrwq
0.0,"Whipped cream &#9829;,&#9829; #endlesslove"
3.0,which twitter bitch isn't selling chokers&#10068;&#10068;
2.0,Which one of you hoes then downloaded that JailMail app....
1.0,"which one of these names is more offensive kike, wop, kraut, wetback jigaboo, towelhead, gook, or redskin."
2.0,"Which one .. Corey or Cory.. Or both &#128514;&#128514;&#8220;@illmatic_kid: ""He's half retarded""&#8221;"
1.0,Which expendable player can we put in with the sole objective of breaking Beverley's jaw?
3.0,Where's the pic of her standing again &#8220;@ArlisDoNotChill: This bitch looks like Voltorb http://t.co/7cWAtskJwC&#8221;
1.0,Where's the part where Fat Amy goes err wop wobn wefo? #thingspeoplesay @FatAmyPost
3.0,"Where's my money, bitch?"
3.0,Where's all my bitches....where did they goooo?
3.0,Where ya titties lil bitch?
0.0,Where would me life be without God and @levimitchell.....seriously I'd probably be living In a trash can haha!&#128514;
2.0,Where this hoe Benga at
3.0,Where this brolic bitch at ? Lol http://t.co/c0ooYDnq4M
3.0,Where the girls at say happy birthday to me i need bitches on bitches like i got stacks on stacks
3.0,Where the fair and reasonable women at? Not these self righteous I deserve the world without working for it Cuz I got a pussy bitches.
3.0,Where the bad bitches? Huh? Where ya hiding? *Kanye voice*
3.0,"Where the bad bitches at? And by ""Bad Bitches"", I mean ""tacos""."
3.0,Where tf this bitch in the pink from? &#128514; this hoe pointless
3.0,where r the fun twins at @TheJsimps I'm trying to lick cheeto dust and coleslaw off your nips
3.0,where my scene hoes at?
3.0,Where my bitches at Mann
2.0,"Where Is VRSL, that nigger owes me 10 bucks"
3.0,Where is @StephyRae7 ... I miss that bitch.
3.0,where da ratchet hoes at?
3.0,Where are all those whiny bitches when Kris left? How come Lulu ain't gettin shit?
2.0,Where all the 2nd string bitches at?
3.0,Whenever you need your hoe protected on social media or anywhere in the world? Please contact @JPERZELL and he'll fight for that hoe.
1.0,"Whenever I see a pic captioned
""Soft ghetto"" I log off for 25 minutes"
3.0,Whenever I came to school fresh I took hella bathroom breaks just so the hoes could check me out &#128514;
3.0,When your side bitch won't leave http://t.co/Gw00BnBzQr
2.0,When your nigga passes you a hoe http://t.co/ItusP1WVoI
2.0,"when you're stupid, you don't know it. life is so easy. have you ever seen a depressed retard? i envy that."
3.0,When you're grinding with a bitch and she's knocking you over with the booty http://t.co/UAyeF5mb0p
2.0,When you told ya Homie she was a hoe but he still wifed it &#8220;@Lurk_God: Caption this http://t.co/rgbqEsSSHA&#8221;
3.0,When you tell a dark skin bitch to send you some sexy shit http://t.co/f5RUR3RkLU
2.0,When you see kids being bad &amp; their parents just standing there &amp; you look @ em like bitch you ain't gon do somethin? http://t.co/1B822azXiQ
3.0,When you see a fat bitch wearing leggings and a belly shirt http://t.co/mN4ZFw3P5G
3.0,When you see @MARGIEFAYE about to fight a bitch .... http://t.co/KZoNqkfVtB
3.0,"When you realize how curiosity is a bitch. An should of let the unknown stay, unknown. #CuriosityKilledMe"
3.0,When you know for a fact you got a woman who loves you other bitches don't even matter.
3.0,When you hear ya homie with no hoes lying https://t.co/MpHQak2QEg
3.0,When you gotta boomin ass voice all you have to do is look at bitches and scream NOW. Den ya in da pussy
3.0,"When you give somebody that ""bitch"" look"
3.0,when you first walked in the door at that party you saw a big booty hoe &#8212; Name ? http://t.co/JERsrSwhUe
0.0,When you colored every day is Sunday
2.0,When you catch yo bitch sending nudes to another nigga...
3.0,When you ain't had pussy in a hot minute... http://t.co/tP05IA7JbX
2.0,when yo song come on and you hit the blunt hard af cause that hoe go dat hard
3.0,when ya name gain weight ya ex bitches cant let go
2.0,When women are so proud that they don't like to cook &amp; clean bitch stop being lazy.. It's not cute
0.0,When will Joe stop telling PBO how to do his job? You couldn't even keep a job in #teabagger Florida. #morningjoe
3.0,When was a hoe ever supposed to be loyal. I mean it wouldnt make em a hoe they'd be another housewife
2.0,"When u see that bitch in 5 months like"" yea im having a boy ! "" bitch u was twerking on dicc on vday #weknow"
0.0,When this test is over today I'm making a pan of brownies. I'm going to lay in bed all day &amp; eat them until my heart is content. &#128524;
3.0,When things don't go my way I'm a total bitch.&#128129;
2.0,"When they bitch about ""carbon emissions"" tell them to stop breathing because exhaling adds carbon dioxide to the atmosphere..."
3.0,When the teachers aid trys acting like she's the teacher... bitch please
3.0,When the pussy stank @MariekieBarone &#128514;&#128514;&#128514;&#128514;&#128514; http://t.co/X5LIVg2b0q
3.0,When the ghost picks u up after u dive in the pussy http://t.co/vBD4zHJROF
3.0,when the dude shoots his jiz in the bitches eye in silence of the lambs
3.0,"When the day goes bad just tell yourself ""were the pussy at!"" &#128514;"
2.0,"When the bitch playes with your emotions, an won't let you date. That's the moment where i wanna kick her straight in the vagina."
3.0,When the baddest bitch in school walk by http://t.co/5REizTQ2lS
2.0,When that dyke almost came for me when i didn't send for her &lt;&lt;&lt;&lt;
2.0,When Stoni isn't doing his faggot gook speak he's actually funny
3.0,"When somebody ask ""where da hoes at"" universal answer is ""shit u got em"""
3.0,When she's a straight up hoe but doesn't suck dick.
3.0,When she wit me got yo bitch open
3.0,When see u an oldhead rocking a Bruce Lee top with a durag on in the park randomly giving a group of street niggas a ghetto karate class
0.0,When Robinson Cano left the Yankees they were selling his jersey for $25. When Aaron Hernandez went to jail they sold his for $10.
3.0,When ratchet bitches find out the club ain't 10$ to get in https://t.co/GeJUIY1XG0
3.0,"When people tailgate, then pass you up, and look lol I just wave like hi bitch yeah I see you do I care fuck no pass me up"
1.0,"When people really think I'm Asian I get offended,
Even though I make fun of my gook self"
1.0,"When people label their name on there ghetto nano&lt;&lt;&lt;&lt;&lt; 

@StephyRae7"
3.0,When people igg my text they get aired out in my head all types of bitches an dickheads &#128514;
3.0,"when nino said ""cancel that bitch ill buy a new one"" &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;"
3.0,"When niggas wanna cheat they start an argument with their girl... ""bitch i told you i hate ketchup on my hotdogs, fuck this im out"""
2.0,When niggas say they like Latinas they don't mean you fat bitches that smell like fajitas
2.0,When niggas gimme their mixtape and it's trash #YEET #Fatality https://t.co/i3drCdIvN8
3.0,"When nigga/bitch lose in a fight they favorite line is ""he/she only "" &#128514;"
3.0,When my teacher says basic algebra I think of basic bitches&#128514;&#128514;
2.0,When my right hand get out niggas gon remember why we tru loyal pussy
2.0,"When my friends are roastin my other friends and idk who to roast I'm just like wait ""who are your true nigs""&#128527;always da clan&#128111;&#128109;&#128129;"
3.0,When mfs tell you who you talk to and it ain't true..like no bitch!
3.0,"When Lil Wayne said ""why give a bitch your heart when she'd rather have a purse"" http://t.co/CKRzrWVFz0"
3.0,When lifes got ya down you just gotta get back up and pimp slap that hoe!!!!!
2.0,When Jake was mad happy and hugged muscle faced Renee Russo at the end of 1 I was like yeah them bitches bout to win it all!!!
3.0,When jake from State Farm keep calling yo bitch but yall got progressive http://t.co/dnb0q5phVk
3.0,When its hot i wear whatever lol shit if could come out this bitch in briefs i would
3.0,When it start raining bitches always wana get fucked bitch take a nap
1.0,"When it rains it's good ""go to the mall weather"" all the coons be at home"
3.0,When it come to bitches.... niggas will get dirty
3.0,When I'm a relationship I'm erasing twitter cuz it's to many bitches that are accessible. I gotta the hormones of a 13 year old home alone
3.0,When I was in 6th grade it was a lil bitch at my school in 5th and she was pregnant like wtf I barely new what pussy looked like that young
3.0,When I was 16 &amp; me my homies used to go to the mall to pull hoes. I'd be at home later that night like.... http://t.co/zq8UtPLYFK
3.0,When I wanna nut an she wanna nut at the same time I'm Peyton Manning this bitch audible OMHA
3.0,When I step off in da club niggas give me daps and hugs hoes swinging dey eye ik one thing right they wanna fuck
3.0,When i see a SUPER bad bitch and she happen to be from my city i just feel the need to shoot my shot.
3.0,When I see a fine bitch I don't get excited
3.0,When i die throw a couple bad bitches in my casket..
2.0,When i die throw a couple bad bitches in my casket
3.0,When i die bitch fuck my hologram doe* there taylor
3.0,"When I die
Throw a couple bad bitches in my casket"
3.0,"When I call bitch, you come."
3.0,When i bitch fuck my hologram doe
3.0,"When I be that pussy, I be calling you my Bitch."
2.0,When I be seein y&#8217;all runnin back and forf to woyke and shit I be thankin Jesus I is colored
2.0,When hoes think I got sucker nigga written across my forehead...
3.0,When hoes be sayin they sexually frustrated or need some dick http://t.co/UaVDkZBAut
3.0,When her pussy stank RT @BasedGodTobi: When yo girl says she&#8217;s gonna let you hit tonight http://t.co/bF8BGCAoEI http://t.co/G4k2DZ4WsV
3.0,When her pussy doesn't taste like pineapples http://t.co/tWpg0XXwbB
2.0,When guys throw stupid bitch fits its like whyyyyy? Grow some balls please. I have bigger balls than you.
3.0,When guys are more sentimental than most girls like man up pussy &#128530;&#128583;&#128581;
3.0,"When girls say like ohh I'm so ugly, like bitch you ain't fishing for compliments you're like deep sea diving, fuck!"
3.0,When ex girl friends get fat. That's god saying hey man.. You're welcome lmfao &#128514;&#128557; big ole bitch
3.0,When ever you dog hoes really bad you end up w/ a girlfriend ...
2.0,"when Em said ""I'm on my straight grizzly, so why would I buy you a gay ass teddy bear bitch youre already bi-polar."" http://t.co/FQquXTxHBo"
0.0,When did Miley turn ghetto?
1.0,When did it become cool to ne stupid? This teabagger debate is slim on facts at best.
2.0,"When did gum get so soft, you sons of bitches."
3.0,"When Chief Keef said ""I aint done turning up bitch!"" http://t.co/bx2mXV2osO"
0.0,When Charlie tries to walk into my room and it can't remember if I locked the door or not http://t.co/FrTigzzPQf
3.0,When bitches you don't like talk to you at work. #workproblems #workflow #byebitch https://t.co/gqZuNhCVd3
3.0,when bitches u hate won't stop staring at u in the halls http://t.co/OjNXhoIGdw
3.0,"When bitches say ""I want to cuddle."" It real is them speaking in code saying they want the D"
2.0,"When bitches know they feeling stupid, they keep there sentences short."
3.0,When bitches in the library start acting up http://t.co/x1qGfTkB4O
2.0,When bitches I work with are on there period ...
3.0,when bitches change and start acting like the nigga they with &lt;&lt;&lt;&lt;&lt;&lt;
3.0,when bitches be tryna wash their shit on the low lol funny af
1.0,when baylor wins im talking so much trash
3.0,When bae say she goin to the club with her girls I be outside that bitch at 2am like... http://t.co/yJowfMziKf
0.0,"When all else fails, blast bare nips"
3.0,when ah rich nigga want ur bitch it's nothing u can do... but hope she think about u on dem shopping sprees...
3.0,When a super bad bitch walk past u and u can't help but stare http://t.co/64Iwjvx2xE
1.0,When a pussy nigga socks you and doesn't knock you out.
2.0,When a niggah think he gon come in-between me and my bestf &#128514;&#128514;&#128514;&#128514; I'll fuck you and her up &#128514;&#128076;
3.0,When a hoe tryna get at you while ya girl is looking http://t.co/Ihlzw7njke
2.0,When a hoe go back to her roots
2.0,"When a girl tried to argue with me whilst I was drunk, ""hes not done..."" ""you shut the fuck up bitch!"" im a nasty cunt whilst drunk #sarry"
3.0,When a girl asks me if I eat pussy... At first I don't even cause that's just a stupid question in itself
3.0,When a fat bitch want you and a skinny bitch can't cook nothin for you &#128514;&#128514;&#128514; these hoes ain't hungry &#128514;&#128514;
3.0,When a chicks head is weak I just close my eyes and imagine me giving a bad bitch like Zoe Saldana back shots so I can get my nut off
3.0,when a bitch say you cant dance http://t.co/GKZj7QNDIF
3.0,When a bitch I don't like laugh at my joke http://t.co/9Veupu85Wj
3.0,When a bitch all in ya mans face in public http://t.co/KXmi85GQP2
3.0,When @Drake got your ex bitch &amp; the one you tryna move on w/ it's time to call &amp; give it a up
3.0,Whats wrong with this bitch
3.0,Whats wrong w/ this marie hibben bitch..
3.0,Whatever I'm going to concert today!..I cant be a little bitch right now
3.0,"Whatever happens, I won't let racism become a big trend again. I refuse. Over my fuckin dead body bitches, I'm mixed I can't be racist"
2.0,What's worse than jury duty is the confirmation you get while serving that the general public is retarded.
1.0,What's worse than #Ebola ? The F-ing retards trying to make it a race issue. Al Sharpton has caused more American death than ebola.
3.0,What's up with all these bitches in bed clothes...? Walking the streets like that shit is cute.
1.0,What's up faggots bet y'all thought you'd seen the last of me
2.0,What's this bitch retarded? GIVE ME BACK MY 16 DOLLARS &#8220;@AmandaBynes: Every time I meet somebody I assume I'll never meet them again&#8221;
3.0,What's this bitch look like y'all &#8220;@pearlblueyes: add me on your stupid chapsnat::::pearlblueyes http://t.co/rASlFXof5d&#8221;
3.0,What's that makeup called on your cheeks? I call it bitch spots lmao
1.0,What's so good about Prom? All I see is another faggot ass High School dance.
2.0,What's retarded is that I actually love my job and have a really weird passion for it.
3.0,What's really funny bout this pic is I'm sure they believe them hoes is bad &#128514;&#128514;&#128514;&#128514; http://t.co/15R8WoqXHd
1.0,What's a trash party ?
3.0,"What's a Queen without a King?

...A lonely ass bitch!"
3.0,What you saying hoe?
3.0,What you know about getting money low key .. Hanging with the street niccas fukn wit the OG's
3.0,What you gonna do if she cheat ? Cry ? Fight for her ? No kick that bitch out and go straight to tootsies
3.0,What you doing bitch suck it don't bite it
3.0,What would yall do?.....I would act like one of them nd act like we lookin for the same bitch lmao http://t.co/7d0JeAmUvf
2.0,What was that knob to get shit back in focus when it started getting fuzzy?
2.0,What up fake ass hoe? I'm not gone fought you today. Gimme my nigga hand back
2.0,What u don't do another hoe will
3.0,what to do when your ear hurts like a bitch?
3.0,"What they taught us, man them bad bitches only want the ballers, the starters.. We hoopin now the hoes wanna guard us.."
1.0,"What these bitches want from a nigga?, like on some DMX shit"
2.0,What these bitches want from a nicca .. &#128553;&#128553;
0.0,What the monkey... http://t.co/h76rptL8Wq
3.0,What the hell are we doing with pussy rules that soldiers don't carry weapons 24/7 on base? They are trained. Liberal crap &amp; people die.
3.0,What the FUCK? THO? REALLY? The Entire FUCKING #World #MEDIA is has gone #Obama #retarded not to know #medical #science PROTOCOLS? #wuh?
3.0,What state got the best pussy? &#128064;
3.0,What restaurant drugs tests hahahaha that's fuckin trash
1.0,"What ppl expect, august aslina is a nig from New Orleans"
1.0,What manner of black folk take their kids riding in the ghetto to point out misplaced youth and victimized &amp; cursed brethren and say:
3.0,What makes you lose your temper? &#8212; dumb ass bitches who talk shit but won't walk a mil in you own shoes http://t.co/1V4dpwHeUl
3.0,What made this niggah say that out his mouth
3.0,What mad cunt created masturbating? That dude needs a high 5...
3.0,What kind of sorcery is this.... RT @OfficiallyIce: Nope RT @2charmss: Eat this pussy while im on my cycle &amp; call it Cherry Pie
3.0,What kind of person am I : the one that wears a beanie and does drugs and likes to fuck with bitches
3.0,What kind of bitch ass throw was that Alex. Fuck.
3.0,What jealous hoe made this? http://t.co/95rdO7RHvq
3.0,What is up my twitta niccas!
2.0,What is Twitter even for? Lmao This hoe wack af
0.0,What is this the @Yankees are doing today? Using those wooden things and making it all the way around the bases? Weird.
3.0,What if I was on my ass that mean she get half of my cash? Man that bitch can kiss my ass
1.0,What if I talked ghetto lol I'd be so annoyed of my self
3.0,What I look like ho? I look like YES and you look like NO! @NICKIMINAJ
3.0,What I hate about edm festivals is the people who bitch about the line up. #STFU
3.0,what he was clearly stating to the masses is....pussy is to be shared...so girl send out dat pussy to my shark
0.0,What ever happened to the Teen Titans of my day and why must they mock me with this Teen Titans Go?
1.0,"What else come on on mondays im not finna watch that trash, ive destroyed enuf brain cells."
3.0,What do you do when you the nigga thats currently cuffin a bitch dats getting exposed? &#128514;&#128553;&#128557;&#128514;&#128514;
0.0,"What be the peckin order?
1 white Christian
2 colored
3 Porto Ricans 
4 Arab 
5 Jews 

I donts know. I be axin"
1.0,What barrel of trash doesn't smell as bad? RT @Jay_F5 Imagine Dragons or Nickelback?
0.0,"What an amazing, proud day it was today for @NKOTB and #blockheads! Time for bed! Good knight!"
2.0,"What America teaches people: if you bitch about something enough, you'll get what you want."
3.0,What a wifey would understand a hoe could never comprehend
1.0,What a wetback looks like when he gets caught crossing the border. @Ilovebamf http://t.co/j3Uf1TYubO
0.0,What a trash franchise. RT @ArashMarkazi: Fergie will sing the National Anthem at the Clippers season opener tomorrow.
2.0,What a sniveling little cunt. I would be embarrassed for him but I cant stand the guy. @joederosacomedy @TheCumiaShow
2.0,what a retard lol
3.0,"What a pussy so you can sub-tweet about me, then unfollow, but can't even reply and try to understand my point? Yeah and I'm the idiot."
3.0,what a little bitch lol
3.0,What a hoe lol
2.0,what a hoe
3.0,What a fucking retard
1.0,What a fucking faggot
0.0,What a fag
2.0,What a dumb bitch
3.0,What a Dirty Girl! Haha &#58381;&#57423;&#58380;&#57607; #cat #pussy #pets http://t.co/7YaYdatE
0.0,what a clam shame
2.0,what a broke niggah gone tell her.
3.0,What a bitch.. #pshh
1.0,WH: Obama won&#8217;t name Holder&#8217;s replacement until you rubes have already cast your midterm ballots - Hot Air http://t.co/Yf1o8h99Uz
3.0,Wet bitches http://t.co/fm7UDyku
2.0,Westside nicca!
0.0,Western Jihadi fanboys use of language: peppering sentences with Arabic words to sound knowledgeable - #Comical http://t.co/G2rca1XGh7
2.0,Westbrook you ball hogging bitch pass it to your fuckin teammates if you want to win
0.0,were gunna shake our honkey tonk badonkadonks (': @SAMMI_boyden
3.0,Went ya bitch house now she not a virgin anymore
0.0,Went to an open house today &amp; the place was trash. Ewww
3.0,Wen yu see uh bad bitch n wanna holla say Ayyy
3.0,"Welp! &#8220;@FemaIeStruggle Me: Baby I cooked

Bae: What's for dinner?

Me: That bitch you been texting http://t.co/pOxpYQ5Eiy"
3.0,Welp imma hoe again :/ RT @Gladvillian: She a hoe if she likes chocolate.
3.0,"Well,is he gonna take da bitch or naw?"
3.0,"Well, jhud is giving me 'bae just got home from work and Ima throw the pussy at him' http://t.co/2KBSxaMddg http://t.co/EsZjSuqYIQ"
2.0,Well your a little cunt !
3.0,Well they do now haha RT @laydeesweets: I just think these bitches are confused. Like i'm wife. #TheyAintKnow?! Lol @VivaLAJuicyy69
3.0,Well thank goodness I got other musicians that aren't bitches.. like @Tampa_Rick for example.
3.0,"Well now that I'm basically gone full retard, lets get blasted"
0.0,Well Jenna's getting a yellow lab so I know where ill be whenever I'm home
1.0,Well Jay I guess if you wanna keep your house from burning down...the bird is the word yeah!!!! #jaymohrsports @jaymohr37
3.0,Well isnt that a bitch 2 wildcards are going to the #WorldSeries
3.0,Well I'm back on the prowl for a bad bitch
3.0,Well I wish I could shoot the shit wit u bitches but daddy gotta get dis money .one
2.0,well i want to be Victoria's Secret dyke angel&#128124;&#128149;
3.0,Well i feel like a bitch.. &#128530;
3.0,Well guess I know a bunch of hoes then. GONE BRING YA #BaldPussy #HoeAss 2 ELEMENTS TONIGHT THO&#8230; http://t.co/4g85sn1AFx
0.0,Well good morning early birds.. t minus 47 mins until thee clock out. Then breakfast shower rub one and sleep!
1.0,"Well gahdamn. RT @HuhWhatsACondom: Wooooow &#8220;@moesdeph: ""Good job mommy"" cutest thing blue ivy ever done she still an ugly nigger baby&#8221;"
2.0,Well done? What a coon.
2.0,Well dayum RT @Tristine214: I seen you bitches knocking censor tags off your clothes on your patio with hammers http://t.co/tWE3VY0Bk5
2.0,Well damn!! LMaooo.... &#171;@IGiveEmNathan It was the dyke in that picture she used to be a girl once up on a time&#187;
2.0,Welding with your shirt off is the redneck version of tanning lol
0.0,"Welcome to the family, Mia Meli! #new #puppy #adorable #cute #fluffy #mutt #mybaby #girl http://t.co/a27C1XueZP"
1.0,"Welcome to our land of dispossession! http://t.co/v14jkTLZ Check out the evil, racist whitey sitting on steps etc. ""Reconquista, Woo Hoo!!"
0.0,Weird frosted colored lipgloss is weird...
3.0,Weird ass bitches
1.0,Weekend is here. What an amazing week this has been. Let's use this extended weekend to celebrate our successes my fellow queer folk.
3.0,Weef fitm is that life fuck flappy bird
3.0,Weed nigguh.. Retweet that
0.0,Weed brownies &gt;&gt;&gt;&gt; &#128553;&#128079;
2.0,Webbie to retarded
0.0,"WEBBERS! RT @DMILZ4: Sz13 vnds restorers dream, cracked midsole, sole separation, and fogged bubbles. 150 http://t.co/yC81VG2kg1"
3.0,Weazy bitch birdman jr http://t.co/wXNX94BzoC
1.0,"wearing pajamas tonight 4 da gook 
UDigg 

Grey day"
1.0,We're going to make the school look so redneck tomorrow.
0.0,"We're Bringing The Cadaver Dogs, Charlie Brown. #rejectedpeanutsspecials"
3.0,We're a good match cuz we both retarded...n weed
3.0,"We'll catch them hoes later, stay on ya grind"
0.0,We wacko birds are still tweeting #MakeDCListen
2.0,We trash
3.0,We so deep in this bitch we might drown
3.0,"WE SALUTE THE VETS &#8211; Tuesday Jihadi Bitch Slaying: MK-48, M203&#8217;s Fired At Taliban Cockroaches Du... http://t.co/1cK21ivEUp #tcot #pjnet"
0.0,We over here struggling with college and work and ice jj fish making money for being trash lol. What has this world come to.
3.0,We need to start having a fantasy team of UT hoes lol
3.0,we need to pile some hoes in the back of Ross' car
3.0,We need hoes
3.0,We need a UT expose hoes page hmmmmm !
3.0,We live ina generation where we praise these hoes.
3.0,We know you fat hoes are not big boned your jus fat af !
3.0,We know what this hoe gonna do for her bday now cc:@TheShugAvery RT @OMGitsKariC: @moyizzy I plan on it &#128520;
3.0,"We just chasing O's round here. We ain't chasing hoes round here 
&#128176;&#128181;. &#127939;&#128168; &#128581;"
3.0,We in this bitch!!! http://t.co/jKqld5vodm
3.0,we in here turn up turn up wheres the bitches
1.0,We hate you too lil nicca! Lol RT @redfernave: I Hate The Steelers Dawg
3.0,"We got mob ties/ and all my hoes gangstaz too/mob wives/ bad bitches,but I don't spend alotta&#8230; http://t.co/LECZepIVS7"
2.0,"We got gin, mad blunts and bitches sucking dick"
3.0,"We don't want yo bitch mane, we just wanna have fun with her."
3.0,We don't pop out bitch we slide
2.0,We don't play &#127936; bitch there's no take backs
3.0,we don't pay hoes... we don't save hoes
3.0,"We don't love these hoes, I only want one night &#128514;&#128553;&#9996;&#65039; Jayballout #onlywantonenight #312 https://t.co/ooxHCzfGJP"
2.0,We don't love them hoes !
3.0,We don't hire bitches
0.0,we dem birds.
3.0,We delivering bitch!!!!
3.0,We cocky yea bitch we cocky.
3.0,We can't trust these hoes fam http://t.co/INvr9Wnccv
0.0,We can't call somebody wack we got Raymond Felton RT @BeckDeeMyG: Lin so trash.
3.0,"We bout to be the next Chik Fil A, lmao. Couple of fags said we told them if they didn't like their food to get out.
Never happened &#128514;&#128514;&#128514;&#128514;"
3.0,We both have hella hoes but I swear all I want is you
2.0,We been passed dem niccas yrs ago fr
3.0,We are the only fan base who by and large gives a crap that Rodgers chews his guys out. Nobody bitches about this for Brady and Manning.
3.0,We are back bitches! @vnpacheco21 @xoxoclaire_ @treyhunter_ @Medgmon @delaney_jade @sean_steezy @alexistiefa
3.0,we all went through so much shit together . I miss them bitches
3.0,We ain't really wit that talkin bitch we bout that action
3.0,We ain't gon talk bout yo partnas cuz dey ain't shit like my niccas
3.0,WDMC RT @Rhion_R: So what shit is this. Male hoes now. WHAT is going on. http://t.co/XcY9QE5Yab
3.0,"Wayne went ape shit on tht ""Krazy"""
3.0,Wayne crazy.... New Orleans ass nicca lol
2.0,Way too many pussies who just lay down and do nothing in my generation. Both literally and figuratively.
3.0,Wave &#127754; or get Splashed &#128166; on!!! #SplashGang ya bitch you!!
3.0,Wats up with ppl calling me foriegn bitch now
3.0,Water whippin bitch that bobby buschi
2.0,"Watchu smiling in da can foe nigguh,"
1.0,Watching the nigger movie Menace2society. Trying to learn more about the enemy. Good reconnaissance.
